JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53035415,S2715513237,Arterial Rapid Transit,Rapid Transit,Ward Street-RapidRide I-Arterial Rapid Transit-planned,96,780,780,1560,780,780,1560,-122.23108,47.38251,at grade,planned,,Ward Street,RapidRide I
G53040840,S2603258460,Light Rail,Light Rail,West Alderwood-Everett Link Extension-Light Rail-planned,891,2298,3290,3524,2298,4280,6450,-122.27885,47.82181,elevated,planned,,West Alderwood,Everett Link Extension
G53063000,S3165785989,Bus Rapid Transit,Rapid Transit,West Armour-RapidRide D-Bus Rapid Transit-existing,4774,5174,5721,5965,11174,5604,12712,-122.37631,47.64475,at grade,existing,2012,West Armour,RapidRide D
G53063000,S254359220,Bus Rapid Transit,Rapid Transit,West Dravus-RapidRide D-Bus Rapid Transit-existing,5606,6315,7355,8657,6315,6653,9717,-122.37634,47.64846,at grade,existing,2012,West Dravus,RapidRide D
G53063000,S1266954302,Bus Rapid Transit,Rapid Transit,West Emerson-RapidRide D-Bus Rapid Transit-existing,2510,3023,3315,3925,3065,3614,4528,-122.37613,47.65403,at grade,existing,2012,West Emerson,RapidRide D
G53063000,S1609418542,Bus Rapid Transit,Rapid Transit,West Galer-RapidRide D-Bus Rapid Transit-existing,375,385,447,385,385,390,452,-122.3757,47.63229,at grade,existing,2012,West Galer,RapidRide D
G53063000,S448950447,Bus Rapid Transit,Rapid Transit,West Prospect-RapidRide D-Bus Rapid Transit-existing,2217,2281,3093,2494,2281,2362,3306,-122.37106,47.62866,at grade,existing,2012,West Prospect,RapidRide D
G53072625,S229861179,Bus Rapid Transit,Rapid Transit,West Valley Highway-RapidRide F-Bus Rapid Transit-existing,8,5248,5248,5248,5248,5248,5248,-122.24381,47.45686,at grade,existing,2014,West Valley Highway,RapidRide F
G53063000,S1405184343,Bus Rapid Transit,Rapid Transit,West Wheeler-RapidRide D-Bus Rapid Transit-existing,4358,4874,5160,6301,4874,5402,6684,-122.37626,47.64066,at grade,existing,2012,West Wheeler,RapidRide D
G53063000,S3205574120,Streetcar,Streetcar,Westlake Hub-South Lake Union Line-Streetcar-existing,19,15352,15352,30704,15352,15352,30704,-122.33728,47.61289,at grade,existing,2007,Westlake Hub,South Lake Union Line
G53063000,S3926191399,Light Rail,Light Rail,Westlake-Ballard Link Extension-Light Rail-planned,60504,125005,125005,196744,131627,125005,203366,-122.33608,47.61119,subway,planned,,Westlake,Ballard Link Extension
G53063000,S1041866010,Light Rail,Light Rail,Westlake-Red Line (Central Link)-Light Rail-existing,9885,18525,18525,31645,18525,18525,31645,-122.33652,47.61166,subway,existing,2009,Westlake,Red Line (Central Link)
G53063000,S2878452211,Streetcar,Streetcar,Westlake/7th-South Lake Union Line-Streetcar-existing,12859,63515,63515,120285,63515,63515,120285,-122.33781,47.61507,at grade,existing,2007,Westlake/7th,South Lake Union Line
G53063000,S1192341864,Streetcar,Streetcar,Westlake/Denny-9th-South Lake Union Line-Streetcar-existing,27564,29524,29524,31764,29524,29524,31764,-122.33838,47.61802,at grade,existing,2007,Westlake/Denny-9th,South Lake Union Line
G53063000,S3988523510,Streetcar,Streetcar,Westlake/Mercer-South Lake Union Line-Streetcar-existing,630,1935,1935,3870,1935,1935,3870,-122.33845,47.62428,at grade,existing,2007,Westlake/Mercer,South Lake Union Line
G53063000,S4048736436,Streetcar,Streetcar,Westlake/Thomas-South Lake Union Line-Streetcar-existing,14655,23083,23083,39702,23083,23083,39702,-122.33846,47.62146,at grade,existing,2007,Westlake/Thomas,South Lake Union Line
G53063000,S1444897563,Bus Rapid Transit,Rapid Transit,Westwood Village-RapidRide C-Bus Rapid Transit-existing,785,1693,3254,2664,1693,2255,4225,-122.36738,47.52102,at grade,existing,2012,Westwood Village,RapidRide C
G53005210,S1096747238,Light Rail,Light Rail,Wilburton-Blue Line (East Link)-Light Rail-uc,180,1255,1255,2510,1255,1255,2510,-122.18377,47.61797,elevated,uc,,Wilburton,Blue Line (East Link)
G53035415,S2082969009,Arterial Rapid Transit,Rapid Transit,Willis Street-RapidRide I-Arterial Rapid Transit-planned,1333,3372,5001,5513,3372,4011,7266,-122.23062,47.37778,at grade,planned,,Willis Street,RapidRide I
G53063000,S3637736163,Bus Rapid Transit,Rapid Transit,Yale Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,20353,47128,47172,73620,47128,47633,73934,-122.3309,47.62874,at grade,proposed,,Yale Avenue,Roosevelt RapidRide
G53063000,S3230223454,Streetcar,Streetcar,Yesler/Broadway-Yesler Terrace-First Hill Line-Streetcar-existing,6182,9397,9397,14480,9397,9684,14490,-122.32008,47.60169,at grade,existing,2016,Yesler/Broadway-Yesler Terrace,First Hill Line
